DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Manufacturing,485.6,485.4,450.2,451.2,487.2,488,483.1,500.4,515.4,535.9,539.9,535.4,526.5,520.2,516.1,558.8,566.8,517.5,475.9,446.7,419.7,424.7,430.1
Construction,526.2,499.4,407.6,403.6,454.5,443.6,450.3,488.9,500.6,494.3,479.5,441,400.5,378.7,378.2,354,295.9,255.5,235,226.3,235.4,252.9,287.2
Services,2963.4,2884.3,2761.8,2722.5,2816.5,2757,2709.6,2656.8,2612.8,2566.6,2447.9,2356.5,2278.4,2184.7,2073.9,2016.7,1849.6,1706.5,1593.8,1520.1,1465.2,1455.3,1438.8
    Wholesale And Retail Trade,467.3,462.5,453.3,459.8,484.4,490.6,490.3,491.1,489.7,497.5,479.4,463.2,452.1,438.4,424.6,420,384.9,365,346.4,333.8,322.8,325.1,325.2
    Transportation And Storage,271.5,265.9,255.8,253.5,262.2,258.3,250.8,244.8,241.1,238.3,230.3,222.1,213.2,206.4,199.7,202.3,184,179,173,166.6,163.9,164.5,161
    Accommodation And Food Services,271.5,264.1,246.5,247.7,271,259.5,257.9,253.4,246,240.8,230.6,222.9,215.1,205,190,187.7,162.1,145.8,133.2,127.5,123.3,121.4,118.1
    Information And Communications,184.1,186.6,171.8,157.6,154.8,147.1,139.6,135.4,133,129,122,115.9,112.4,103,94.4,91.6,79.4,73.1,66.6,63,60.2,62.7,64.8
    Financial And Insurance Services,229.1,220.2,209.2,204.2,201.4,195.6,194.2,185.2,179.9,177.4,168.6,162.9,157,149.9,143.4,142,149.1,127.3,116,108.2,102.1,99.9,101.9
    Real Estate Services,76.3,73.8,72.7,74.4,81,80.9,80.1,81.4,88.6,94.2,87.4,88.8,84.7,81.2,78.6,75.9,61.4,52.9,48.4,45.9,na,na,na
    Professional Services,283.7,278.8,262.9,252.2,255.1,245,238.1,234.6,234.2,231.3,218.7,203.9,193.8,184.2,171.7,167.2,150.5,128.4,114.6,106.9,na,na,na
    Administrative And Support Services,243.2,240.1,242.8,237.8,253,246.2,242.8,232.1,222.8,207.8,193.4,183.2,176.9,166.8,156,148.1,124.1,113.2,97.4,87.3,na,na,na
"    Community, Social And Personal Services",936.6,892.2,846.8,835.3,853.6,833.8,815.9,798.9,777.5,750.4,717.5,693.6,673.3,649.7,615.6,582.1,554.1,522,498.3,480.8,468.1,461,448.6
Others,24.5,24.5,23.9,26,26.1,26.2,26.4,27,27.2,26.9,26.2,24.5,22.8,22,21.6,22.6,18.5,16.4,15.2,13.5,14.9,15.3,14.9
